datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-10-22;21.0;49.0;14.0;35.0;56.0;60.0;34.0;21.0;10.0;7.0;62.0;38.0;46.0;73.0;23.0;49.0;40.0;4.0;82.0;119.0;74.0;51.0;56.0;93.0;58.0;64.0;115.0;53.0;60.0;1.0;2.0;0.0;6.0;1.0
2023-10-23;48.0;57.0;21.0;35.0;78.0;86.0;40.0;41.0;11.0;15.0;69.0;46.0;44.0;84.0;47.0;39.0;49.0;32.0;96.0;101.0;70.0;59.0;64.0;133.0;65.0;63.0;112.0;47.0;77.0;15.0;6.0;4.0;5.0;6.0
2023-10-24;63.0;63.0;14.0;34.0;83.0;71.0;34.0;49.0;12.0;6.0;69.0;40.0;45.0;84.0;45.0;43.0;43.0;53.0;78.0;87.0;95.0;49.0;59.0;132.0;60.0;53.0;114.0;37.0;82.0;0.0;8.0;1.0;6.0;8.0
2023-10-25;67.0;72.0;15.0;40.0;75.0;68.0;35.0;48.0;11.0;5.0;63.0;65.0;50.0;78.0;39.0;56.0;48.0;41.0;98.0;122.0;53.0;54.0;55.0;144.0;59.0;69.0;103.0;54.0;55.0;0.0;5.0;4.0;9.0;9.0
2023-10-26;60.0;56.0;14.0;33.0;64.0;85.0;42.0;47.0;8.0;4.0;63.0;49.0;29.0;86.0;38.0;46.0;52.0;55.0;94.0;121.0;80.0;52.0;65.0;162.0;85.0;57.0;93.0;64.0;79.0;8.0;8.0;6.0;10.0;7.0
2023-10-27;53.0;46.0;15.0;29.0;69.0;66.0;46.0;48.0;9.0;2.0;57.0;53.0;30.0;77.0;39.0;53.0;38.0;51.0;95.0;119.0;64.0;41.0;60.0;151.0;55.0;75.0;85.0;58.0;66.0;38.0;7.0;8.0;4.0;10.0
2023-10-28;55.0;40.0;9.0;38.0;66.0;62.0;5.0;37.0;10.0;0.0;48.0;57.0;30.0;57.0;39.0;41.0;44.0;31.0;73.0;110.0;81.0;42.0;53.0;124.0;59.0;80.0;85.0;63.0;61.0;4.0;8.0;5.0;8.0;5.0
2023-10-29;38.0;3.0;2.0;32.0;72.0;65.0;29.0;33.0;9.0;0.0;49.0;35.0;25.0;80.0;43.0;29.0;51.0;25.0;75.0;93.0;67.0;36.0;55.0;102.0;46.0;69.0;87.0;59.0;58.0;22.0;3.0;6.0;5.0;1.0
2023-10-30;60.0;43.0;17.0;31.0;65.0;75.0;41.0;44.0;11.0;12.0;62.0;42.0;20.0;64.0;52.0;38.0;40.0;33.0;63.0;100.0;80.0;41.0;61.0;123.0;77.0;86.0;90.0;65.0;64.0;7.0;6.0;9.0;11.0;6.0
2023-10-31;51.0;38.0;8.0;30.0;59.0;59.0;42.0;55.0;12.0;6.0;54.0;25.0;40.0;68.0;39.0;38.0;45.0;26.0;70.0;82.0;73.0;42.0;62.0;116.0;78.0;89.0;91.0;60.0;69.0;21.0;6.0;6.0;7.0;6.0
