datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-10-22;17.0;41.0;11.0;25.0;39.0;43.0;27.0;20.0;10.0;6.0;34.0;28.0;33.0;51.0;22.0;29.0;34.0;4.0;51.0;81.0;52.0;33.0;38.0;67.0;36.0;45.0;63.0;33.0;40.0;1.0;2.0;0.0;6.0;1.0
2023-10-23;35.0;42.0;19.0;28.0;56.0;64.0;34.0;35.0;10.0;10.0;42.0;35.0;37.0;65.0;39.0;34.0;40.0;27.0;71.0;90.0;52.0;40.0;47.0;92.0;48.0;54.0;76.0;35.0;56.0;15.0;6.0;4.0;5.0;6.0
2023-10-24;44.0;44.0;11.0;27.0;60.0;51.0;30.0;37.0;11.0;4.0;50.0;29.0;34.0;57.0;36.0;35.0;42.0;41.0;56.0;78.0;59.0;34.0;43.0;95.0;47.0;46.0;72.0;28.0;57.0;0.0;8.0;1.0;6.0;8.0
2023-10-25;50.0;57.0;13.0;34.0;57.0;51.0;28.0;33.0;11.0;5.0;44.0;43.0;44.0;55.0;31.0;44.0;43.0;35.0;70.0;101.0;41.0;37.0;49.0;101.0;42.0;57.0;62.0;41.0;45.0;0.0;5.0;4.0;7.0;8.0
2023-10-26;42.0;39.0;12.0;26.0;43.0;59.0;31.0;33.0;8.0;3.0;46.0;36.0;24.0;60.0;31.0;36.0;39.0;45.0;70.0;94.0;61.0;38.0;52.0;110.0;62.0;54.0;66.0;48.0;56.0;8.0;7.0;6.0;10.0;7.0
2023-10-27;43.0;41.0;15.0;24.0;59.0;51.0;36.0;35.0;8.0;2.0;42.0;40.0;26.0;52.0;30.0;41.0;34.0;46.0;72.0;96.0;52.0;32.0;49.0;102.0;42.0;65.0;60.0;46.0;45.0;36.0;7.0;8.0;4.0;10.0
2023-10-28;35.0;33.0;9.0;29.0;53.0;45.0;4.0;32.0;10.0;0.0;33.0;40.0;26.0;42.0;33.0;32.0;36.0;23.0;51.0;87.0;56.0;30.0;41.0;90.0;46.0;64.0;57.0;46.0;43.0;4.0;8.0;5.0;7.0;5.0
2023-10-29;31.0;2.0;1.0;24.0;46.0;54.0;26.0;30.0;5.0;0.0;34.0;28.0;22.0;51.0;30.0;26.0;42.0;20.0;50.0;71.0;46.0;26.0;40.0;61.0;39.0;53.0;50.0;40.0;42.0;17.0;3.0;5.0;5.0;1.0
2023-10-30;36.0;33.0;11.0;26.0;52.0;61.0;36.0;34.0;11.0;7.0;47.0;32.0;18.0;56.0;39.0;30.0;35.0;32.0;52.0;78.0;64.0;27.0;52.0;88.0;55.0;70.0;63.0;45.0;48.0;7.0;6.0;9.0;11.0;6.0
2023-10-31;45.0;36.0;7.0;23.0;48.0;50.0;34.0;37.0;12.0;4.0;36.0;23.0;35.0;55.0;33.0;32.0;42.0;25.0;53.0;73.0;57.0;30.0;45.0;84.0;56.0;74.0;63.0;47.0;45.0;19.0;6.0;6.0;7.0;5.0
